"model_id","models","RMSE_train","MAE_train","RMSE_test","MAE_test","RMSE_train_escala_original","MAE_train_escala_original","RMSE_test_escala_original","MAE_test_escala_original","times"
11,"MERT all + intercept + slope + quadratic",0.599282217418186,0.461181946392809,2.73687847917846,1.22362917129021,170574.276131688,56113.081056782,326378.493093537,117721.938838755,3.81921744346619
4,"MERT all + all",0.656190446144244,0.51565922444045,2.71102262295906,1.22865806200558,196258.030239159,64916.0337173988,333068.851675639,121781.699038295,211.419877052307
3,"MERT all + intercept + slope",0.664948627627396,0.524075445938365,2.73096289663087,1.24632806765897,198180.194193159,66242.6414971961,337478.842702561,121227.74667291,5.77816581726074
2,"MERT time only + intercept + slope",0.755288741976877,0.601225595692082,2.71351610368885,1.18607947343532,217347.109247006,75721.418656467,356670.189630488,125831.574778948,76.8184714317322
6,"MERF time only + intercept + slope",0.745516316940955,0.594931366138674,2.71463056473644,1.18867244576388,210566.336692714,74077.3020911739,358542.951614321,126507.09525203,133.149922609329
7,"MERF all + intercept + slope",0.404977629188305,0.316366486084634,2.70637797595085,1.18472201248533,109732.133544554,38505.9598685859,360304.911048797,126305.151818481,117.683065652847
8,"MERF all + all",0.406351475402853,0.316754157404178,2.710997176364,1.19425467884958,109424.069495892,38448.1718471179,363829.064668645,127908.590989883,134.732270956039
14,"MERF time + intercept + slope + quadratic",0.654818274875388,0.507368246855175,2.79373859199769,1.25520460218983,181845.938728553,62471.0932073262,374919.658580313,117321.443597762,147.919956684113
13,"MERT time + intercept + slope + quadratic",0.66220309432332,0.512597536803509,2.81617211675321,1.27336751606748,188800.979634541,63796.5114573108,384824.165150392,121682.1453997,82.0383880138397
9,"Regression Tree",0.744464367150568,0.593243676888625,2.81466466924938,1.35954186033679,224368.937177488,76760.18810043,396489.47247982,145424.273823914,0.0322296619415283
12,"MERF all + intercept + slope + quadratic",0.359263108256139,0.272124319494549,2.82228954356268,1.31599135704509,96176.8402389395,32481.8387707119,396960.530920542,130180.866755007,14.793630361557
10,"Random Forests",0.467835088850216,0.375147388535981,2.78507207498675,1.29271892989156,127681.128144045,46305.5249591109,407491.309363025,142822.390465113,0.15364933013916
5,"MERF time only + intercept",0.915065246685323,0.760730195394425,2.85407146120232,1.41844995171294,266438.31977029,99526.1455914638,431365.00794069,160353.653385254,123.555192947388
1,"MERT time only + intercept",0.921987635226419,0.765933933456364,2.85068063188119,1.42062627650901,272568.985604779,100893.683673286,431939.79821154,160824.578237832,74.5735862255096
